Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,StudentID
male,group D,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55,64,41
female,group A,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51,49,42
male,group C,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56,54,43
female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75,73,44
female,group E,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68,68,45
female,group B,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50,52,46
male,group E,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64,64,47
female,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80,82,48
female,group D,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71,74,49
female,group A,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69,67,50
male,group C,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46,52,51
female,group B,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87,94,52
male,group B,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65,61,53
female,group D,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66,62,54
male,group B,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,79,67,67,55
male,group D,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74,74,56
female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92,91,57
male,group B,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44,48,58
female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67,72,59
female,group D,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100,100,60
female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76,70,61
female,group B,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64,73,62
female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90,99,63
male,group A,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53,47,64
female,group D,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56,51,65
female,group E,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99,100,66
male,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77,74,67
female,group B,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83,79,68
female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77,69
female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63,70
female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65,71
female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86,72
male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90,73
male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73,74
female,group B,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94,85,75
male,group D,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81,72,76
male,group D,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84,82,77
male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40,78
male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80,76,79
male,group B,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54,41,80
male,group E,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54,54,81
male,group D,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61,70,82
female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72,71,83
female,group C,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62,65,84
male,group A,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43,47,85
male,group D,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74,79,86
female,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,21,38,33,87
female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73,79,88
male,group E,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10,100,100,95,89
male,group A,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67,69,90
female,group B,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68,64,91
female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88,88,92
female,group E,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75,79,93
male,group D,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63,66,94
male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78,74,95
female,group E,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,88,85,96
male,group B,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10,48,53,52,97
male,group C,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,53,49,98
female,group E,master's degree,standard,none,married,never,yes,3.0,private,< 5,76,89,86,99
female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,96,100,100,100
male,group C,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10,53,51,51,101
female,group B,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10,62,79,83,102
female,group B,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10,70,84,79,103
male,group A,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10,76,75,77,104
male,group E,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,91,86,76,105
female,group D,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10,76,84,78,106
female,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,67,70,107
female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50,52,108
female,group C,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,81,92,89,109
female,group B,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,44,53,56,110
female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,54,72,65,111
female,group D,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,99,100,100,112
male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,60,68,75,113
female,group C,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,46,64,66,114
male,group C,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5,61,65,62,115
male,group E,high school,standard,none,married,never,yes,1.0,school_bus,< 5,75,73,62,116
male,group D,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10,62,66,68,117
male,group B,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51,45,118
female,group C,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,74,86,85,119
female,group E,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65,69,120
male,group D,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,73,81,77,121
male,group D,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54,52,122
female,group C,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5,66,83,86,123
female,group D,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,63,79,75,124
male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,77,69,125
male,group E,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,84,62,63,126
male,group E,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,83,81,77,127
female,group B,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5,73,80,76,128
male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5,77,77,77,129
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,42,62,60,130
male,group C,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,61,51,57,131
female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,80,84,86,132
male,group B,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,64,75,68,133
female,group D,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10,57,69,75,134
male,group B,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,89,86,74,135
male,group D,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,88,81,76,136
female,group C,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,72,71,137
male,group D,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,58,50,55,138
female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10,93,97,98,139
female,group B,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,67,86,83,140
male,group E,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10,94,88,79,141
male,group C,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10,85,83,85,142
male,group D,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10,84,77,80,143
male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5,62,65,67,144
male,group B,some college,standard,none,married,regularly,yes,2.0,private,> 10,57,53,53,145
female,group E,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10,82,84,85,146
male,group D,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,74,73,69,147
male,group C,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,82,74,69,148
female,group B,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,58,70,68,149
female,group B,high school,standard,none,married,sometimes,yes,2.0,private,< 5,63,63,60,150
male,group A,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49,49,151
female,group B,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,60,70,70,152
male,group D,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,54,52,52,153
female,group E,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,62,73,70,154
female,group C,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5,62,71,66,155
female,group C,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,65,80,78,156
male,group C,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,79,78,157
female,group C,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,45,50,52,158
female,group E,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,99,93,90,159
male,group D,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,76,73,68,160
male,group D,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40,161
female,group D,high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,71,73,78,162
female,group D,associate's degree,standard,completed,married,regularly,yes,5.0,school_bus,> 10,93,94,99,163
male,group C,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,63,61,164
female,group D,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,48,53,59,165
female,group D,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,65,70,71,166
male,group C,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,83,78,73,167
female,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5,82,90,91,168
female,group C,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,65,86,80,169
male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2.0,school_bus,5 - 10,73,56,57,170
female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,75,80,86,171
male,group B,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,78,80,79,172
male,group E,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,99,83,90,173
female,group B,some high school,standard,none,married,sometimes,no,1.0,school_bus,< 5,64,87,80,174
male,group C,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,76,70,68,175
male,group D,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,83,71,68,176
male,group C,some high school,standard,completed,married,never,yes,1.0,private,5 - 10,61,59,55,177
male,group D,high school,free/reduced,completed,single,regularly,yes,3.0,school_bus,5 - 10,80,78,82,178
male,group B,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10,66,61,59,179
male,group A,some college,free/reduced,completed,married,never,yes,2.0,private,< 5,76,75,77,180
female,group C,associate's degree,standard,completed,single,never,yes,5.0,school_bus,> 10,66,83,80,181
male,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,82,77,65,182
female,group C,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,76,76,85,183
male,group E,some college,standard,completed,divorced,regularly,yes,5.0,private,5 - 10,100,88,83,184
female,group B,associate's degree,free/reduced,none,married,regularly,no,3.0,private,> 10,56,73,70,185
female,group B,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,73,76,80,186
male,group B,bachelor's degree,standard,none,married,never,yes,3.0,school_bus,< 5,62,58,54,187
female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,> 10,70,68,70,188
male,group C,high school,standard,none,married,regularly,no,3.0,private,5 - 10,73,66,66,189
female,group D,master's degree,standard,completed,widowed,never,yes,3.0,private,5 - 10,74,80,88,190
male,group C,associate's degree,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,83,72,78,191
female,group D,associate's degree,free/reduced,none,single,regularly,no,1.0,school_bus,< 5,55,64,63,192
female,group E,high school,standard,none,married,never,no,3.0,private,> 10,74,85,78,193
female,group C,some college,standard,none,married,regularly,yes,2.0,private,< 5,70,80,80,194
female,group C,some high school,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,40,52,51,195
female,group C,some college,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,82,90,94,196
male,group C,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,61,61,62,197
male,group A,some college,free/reduced,none,married,regularly,yes,2.0,school_bus,> 10,29,23,19,198
male,group C,associate's degree,standard,completed,married,sometimes,yes,5.0,school_bus,5 - 10,82,75,77,199
female,group B,some high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,39,54,49,200
male,group E,associate's degree,standard,completed,married,never,no,3.0,school_bus,> 10,61,55,52,201
male,group B,associate's degree,standard,none,single,sometimes,yes,1.0,school_bus,5 - 10,90,78,81,202
female,group B,some high school,free/reduced,none,single,sometimes,no,3.0,school_bus,< 5,23,37,26,203
female,group D,some high school,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,35,55,60,204
male,group C,high school,free/reduced,none,married,regularly,yes,1.0,school_bus,> 10,61,62,54,205
male,group D,associate's degree,standard,completed,single,sometimes,yes,3.0,private,< 5,64,70,65,206
female,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,72,80,75,207
male,group E,associate's degree,standard,none,divorced,regularly,yes,2.0,private,> 10,92,76,79,208
female,group B,bachelor's degree,standard,none,married,sometimes,yes,0.0,private,5 - 10,52,65,69,209
female,group C,some college,standard,completed,married,sometimes,no,1.0,school_bus,< 5,61,76,78,210
female,group C,associate's degree,standard,none,married,regularly,no,1.0,private,< 5,45,57,57,211
female,group B,bachelor's degree,standard,none,single,regularly,no,3.0,school_bus,> 10,64,74,73,212
female,group C,some college,free/reduced,completed,married,sometimes,yes,1.0,private,< 5,40,65,67,213
female,group D,some college,standard,none,divorced,sometimes,no,1.0,private,< 5,77,88,87,214
female,group B,high school,standard,none,married,never,yes,1.0,school_bus,5 - 10,56,61,57,215
male,group B,some high school,standard,completed,single,regularly,yes,3.0,private,5 - 10,87,85,79,216
female,group C,some college,standard,none,single,regularly,no,2.0,private,5 - 10,53,58,59,217
female,group D,some high school,free/reduced,none,single,sometimes,no,3.0,school_bus,< 5,26,33,31,218
male,group C,some college,standard,none,divorced,regularly,yes,1.0,school_bus,5 - 10,60,60,59,219
male,group A,bachelor's degree,free/reduced,completed,married,regularly,no,2.0,private,> 10,51,59,62,220
female,group A,some high school,free/reduced,none,single,sometimes,yes,2.0,private,5 - 10,44,64,58,221
female,group D,some high school,standard,none,single,regularly,yes,5.0,school_bus,5 - 10,71,83,84,222
male,group E,some college,standard,none,married,regularly,yes,3.0,private,5 - 10,86,78,72,223
female,group C,some college,free/reduced,completed,single,sometimes,no,4.0,school_bus,5 - 10,45,73,70,224
male,group D,some high school,standard,none,single,sometimes,yes,0.0,private,> 10,76,75,73,225
female,group D,some college,standard,completed,married,sometimes,yes,1.0,private,> 10,84,98,97,226
female,group D,some high school,standard,none,single,sometimes,no,2.0,school_bus,> 10,82,91,83,227
female,group A,some high school,standard,none,single,sometimes,no,1.0,private,> 10,73,84,78,228
male,group A,bachelor's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,67,64,63,229
female,group B,associate's degree,standard,none,single,sometimes,yes,1.0,school_bus,5 - 10,80,86,83,230
male,group C,associate's degree,standard,completed,divorced,sometimes,yes,0.0,private,< 5,84,98,93,231
female,group E,some high school,free/reduced,none,divorced,regularly,yes,3.0,private,> 10,40,50,47,232
female,group A,some high school,free/reduced,none,divorced,never,no,5.0,private,5 - 10,35,41,40,233
female,group E,some college,standard,none,divorced,regularly,yes,2.0,private,5 - 10,69,77,76,234
female,group E,bachelor's degree,standard,none,single,sometimes,yes,0.0,school_bus,< 5,62,71,68,235
female,group D,high school,standard,none,single,sometimes,yes,3.0,private,5 - 10,62,64,64,236
male,group D,master's degree,standard,none,married,sometimes,no,1.0,school_bus,< 5,71,70,75,237
male,group E,some high school,free/reduced,completed,single,regularly,yes,0.0,private,5 - 10,75,68,60,238
female,group D,some college,standard,none,single,sometimes,no,3.0,private,< 5,74,66,75,239
male,group E,some college,standard,none,married,sometimes,yes,3.0,school_bus,> 10,78,68,68,240
male,group C,associate's degree,standard,completed,divorced,regularly,yes,4.0,private,> 10,60,55,58,241
female,group B,high school,free/reduced,none,married,never,no,5.0,school_bus,5 - 10,48,65,61,242
male,group B,some high school,standard,none,single,regularly,yes,0.0,school_bus,< 5,73,62,57,243
male,group D,some high school,standard,none,single,never,no,4.0,private,< 5,56,57,51,244
female,group C,some high school,standard,completed,married,regularly,yes,3.0,private,5 - 10,60,54,68,245
female,group A,some college,free/reduced,none,married,regularly,no,2.0,school_bus,> 10,51,66,57,246
female,group D,high school,standard,completed,single,sometimes,yes,4.0,private,5 - 10,88,99,100,247
female,group C,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,55,59,63,248
male,group B,associate's degree,standard,completed,married,regularly,no,3.0,school_bus,> 10,68,66,65,249
female,group D,high school,free/reduced,completed,divorced,sometimes,no,2.0,school_bus,5 - 10,52,57,56,250
male,group D,associate's degree,standard,completed,widowed,never,no,5.0,school_bus,> 10,86,83,84,251
male,group E,high school,standard,none,single,regularly,no,3.0,private,5 - 10,86,74,70,252
male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3.0,private,< 5,68,72,66,253
male,group D,some college,standard,none,married,regularly,no,4.0,private,5 - 10,70,59,63,254
male,group E,high school,free/reduced,completed,married,sometimes,no,3.0,private,5 - 10,57,56,54,255
female,group D,master's degree,free/reduced,completed,divorced,never,yes,0.0,private,> 10,47,59,68,256
male,group C,bachelor's degree,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,88,84,88,257
male,group C,some high school,free/reduced,none,single,regularly,yes,0.0,private,5 - 10,71,72,66,258
male,group C,some high school,free/reduced,none,married,sometimes,no,3.0,school_bus,> 10,70,63,55,259
male,group C,high school,standard,none,single,never,yes,4.0,school_bus,< 5,57,54,52,260
male,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,77,69,65,261
female,group A,some high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,59,73,69,262
male,group A,some high school,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,79,82,73,263
male,group C,high school,standard,completed,single,regularly,yes,2.0,school_bus,> 10,91,83,83,264
male,group B,high school,standard,none,widowed,regularly,yes,4.0,school_bus,5 - 10,48,46,43,265
female,group C,some college,free/reduced,completed,divorced,sometimes,yes,3.0,private,5 - 10,64,85,85,266
female,group C,associate's degree,free/reduced,none,married,regularly,no,1.0,school_bus,> 10,68,79,77,267
male,group C,some college,free/reduced,none,married,never,yes,3.0,private,> 10,64,57,48,268
male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,37,56,47,269
female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,79,89,89,270
male,group C,bachelor's degree,free/reduced,none,married,regularly,no,1.0,private,< 5,52,57,55,271
male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,54,54,45,272
female,group E,some college,standard,none,divorced,never,no,1.0,private,5 - 10,68,68,74,273
female,group C,some college,free/reduced,none,widowed,sometimes,yes,4.0,school_bus,5 - 10,77,90,91,274
female,group D,associate's degree,free/reduced,none,divorced,sometimes,no,1.0,school_bus,> 10,26,31,38,275
male,group A,high school,free/reduced,completed,married,regularly,no,7.0,school_bus,> 10,76,69,67,276
female,group A,high school,free/reduced,completed,single,regularly,yes,3.0,private,5 - 10,79,89,87,277
female,group C,associate's degree,standard,completed,divorced,sometimes,no,1.0,private,5 - 10,83,85,90,278
female,group C,associate's degree,standard,completed,married,sometimes,yes,4.0,school_bus,5 - 10,68,86,84,279
female,group D,some high school,standard,none,married,sometimes,no,5.0,private,> 10,57,66,60,280
male,group E,bachelor's degree,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,76,62,66,281
female,group D,master's degree,standard,none,single,never,yes,1.0,private,5 - 10,53,64,70,282
male,group E,associate's degree,standard,none,single,sometimes,yes,4.0,school_bus,> 10,78,72,68,283
male,group B,high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10,73,71,68,284
male,group A,high school,standard,none,divorced,sometimes,yes,2.0,private,5 - 10,59,52,46,285
female,group B,associate's degree,standard,none,single,regularly,no,3.0,school_bus,< 5,48,51,54,286
male,group D,some college,free/reduced,none,married,sometimes,yes,3.0,private,5 - 10,61,47,56,287
male,group B,some high school,standard,completed,divorced,regularly,yes,1.0,school_bus,5 - 10,65,53,58,288
female,group A,associate's degree,free/reduced,none,married,regularly,no,1.0,school_bus,< 5,64,84,76,289
female,group C,some college,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,83,83,90,290
female,group C,bachelor's degree,standard,none,married,sometimes,yes,6.0,school_bus,< 5,78,86,88,291
female,group B,high school,standard,none,divorced,regularly,yes,2.0,school_bus,< 5,53,63,68,292
male,group D,high school,standard,completed,divorced,sometimes,yes,4.0,private,5 - 10,68,64,66,293
female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,< 5,53,47,52,294
male,group E,some college,standard,none,married,sometimes,yes,3.0,school_bus,< 5,73,69,70,295
female,group D,master's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,74,80,84,296
female,group B,associate's degree,standard,completed,married,sometimes,yes,0.0,private,< 5,91,85,90,297
female,group E,associate's degree,standard,completed,married,regularly,yes,3.0,school_bus,> 10,100,91,96,298
